num,title,subtitle,level,reps_label,reps,works,benefits,imagery,placement,movement,breath,tips,caution,thumb1,thumb2,thumb3,thumb4,thumb5,thumb6,qr_code
12,combo2,,,,,,,,,,,,,thumb1,thumb2,thumb3,thumb4,,,
13,Pushups 1,Left,1,REPS,15,"Chest, shoulders, core","Builds upper body strength, improves core stability, and supports controlled, aligned through the shoulders and spine.","Picture pushing away a heavey desk drawer thats stuck.- you lean into it with control,then press with purpose.","Standing facing the wall in neutral spine
Legs are parallel hip width apart. 
Weight is evenly distributed under big toe, pinky toe, and heel. Hands shoulder height with fingers pointed up, and arms are straight.
fff
lllwW","Bend the elbows to lower the body with control, then press through the hands to straighten the arms back to the starting position.

Voice chat ended
9s","BreathBreath
Exhale as you stand tall                                       2 Inhale as you bend elbows 3Exhale as you stretch arms to straight
3",,,thumb1,thumb2,thumb3,thumb4,thumb5,,
14,Second Postion1,Right,1,REPS,10,"Quads, glutes, core","Works: Inner and outer thigh,quads, calves.  Improves hip mobility, lower body strength, balance,and coordination","Imagine your pelvis is a bowl of water- don’t let it tip forward or back,side to side.","Standing facing away from wall,in neutral spine.
Feet are wider than hips, with toes turned slightly outwards.
Feel the weight under the big toe, pinky toe, and heel.                                                                      Arms are down to your sides.
","Stand tall, engaging your core.
Glide knees outward, tracking over second toe,to about hip level                                Push feet into the ground to come up to standing.","
Inhale as you bent you’re knees
Exhale as you straighten
","Think of lifting through the spine as you lower into the plié, then press firmly through the feet to rise, maintaining alignment and control throughout the .","Maintain strong lower abdominal activation and connection, keeping your pelvis completely still in neutral while your shoulders  stabilize with control.",thumb1,thumb2,thumb3,thumb4,thumb5,thumb6,
15,Bridge 1, Basic,1,SECS,10,"Works: Glutes, hamstrings, core.      ","Strengthens glutes, supports pelvic stability, and improves spinal articulation with controlled, supported .","Imagine your a bridge across a quiet stream.- long from your knees to your shoulders,strong and still.",On your back in neutral spine. Feet on the wall hip width apart in parallel. Knees are bent at 90 degrees.,"From your starting position lift hips to straight line bridge.
Bring back down in one piece.","BreaBreath
Inhale to to prepare.      Exhale to lift hips    Inhale to bring hips downth","Press evenly through your feet and engage glutes and abdominals for structural support, keeping ribs connected and hips level as you lift and lower with steady control.","Caution: Avoid overarching the lower back; keep ribs contained and weight evenly through both feet. Stop if you feel strain in the neck, knees, or lumbar spine.",,,,,,,
16,Combo3,,,,,,S,,,,,,,,,,,,,
17,Back Extention 1,Basic,1,REPS,10,"Works: Upper back, shoulders, core   Improves posture, breath capacity, and upper back strenght and mobility","Improves posture, strengthens upper back, and supports spinal extension and alignment.

Voice chat ended
9s",Visulize your spine lifting upward like a graceful fountain elegant and light,"Standing facing out from wall in neutral spine
Elbows bent,with forarms and hands on the wall
Legs in parallel hip width apart
","Works: Upper back, shoulders, core   Improves posture, breath capacity, and upper back strenght and mobility","
Inhale as you lift into extention
Exhale as you return to stand tall
","Keep your core engaged and pelvis steady as you move into extension, creating a slow, deliberate lift through the chest and feeling the connection of the shoulders.",Caution: Avoid overarching or compressing into the lower back; protect your lower back by using your abdominals and prioritize your form.,,,,,,,
18,Side Bend 1,Left,1,REPS,10,"Obliques, core, spine","Improves lateral flexibility, strengthens obliques, and supports spinal mobility and alignment.",Imagine your ribs are a beautiful fan. As you sidebend feel the fan open up fresh air and space.,"Standing to the side of the wall, in neutral spine.  Legs are parellal hip width apart.
Hand on wall a little lower than shoulder height with elbow bent.
Other hand behind head","Stand tall, and lift up through your spine.
Side bend towards the wall,while keep hips square.","Inhale to reach and stretch over, exhale to return to center with control and lift through the spine.","Begin with strong core activation, prioritize controlled mobility through your spine, stabilize the shoulders, and move through the side bend with steady control.","Caution: Check your alignment before you move, making sure you’re bending directly to the side without rotating or collapsing forward, and keep both hips grounded and steady.",,,,,,,
19,Hundreds 1,Basic,1,REPS,1,"Works: ab, shoulders, diaphragm    Benifits are trains breath and coordination, mind-body connection, builds core strenght and endurance","Works: ab, shoulders, diaphragm    Benifits are trains breath and coordination, mind-body connection, builds core strenght and endurance","Imagin your arms pumping through water,creating ripples to keep you stesdy and buoyant.","Lying on your back in neutral pelvis
Feet on the wall with knees bent at 90 degrees hip width apart
Arms to your sides","Engage your core and curl head ,neck and shoulders off the mat.
Reaching your arms to long hovering just a few inches off the ground.
Pump your arms up and down with energy","Exhale to curl up to starting position
Inhale,inhale, inhale, inhale,inhale, for 5 pumps
Exhale,exhale,exhale, exhale,exhale, for 5 pumps
10 sets of 10, for atotal of 100","Maintain strong abdominal connection and steady rhythm, keeping the pelvis stable and shoulders actively down for maximum efficiency.energythroughout.","Caution: If you feel strain in your neck, lower your head to the mat and maintain steady abdominal activation without gripping through the shoulders or jaw.",,,,,,,
20,Spine Twist,Left,1,REPS,10,"Works: Obliques, intercostals,shoulders
											","
Encourages ribcage expansion and breathing mechanics														","Imagine your spine as a tall lighthouse tower,and your arms as beams of light sweeping smoothly across the horizon as you rotate.","Seated facing the wall in neutral spine.
Feet against the wall with legs together in parallel
Arms out to the side shoulder height in the tee shape ,palms facing forward


","Keeping your spine tall,twist to the left,as far as you can keeping both feet on the wall
Twist back to center Reverse
","
Exhale to prepare
Inhale to twist
Exhale as you come to center
Inhale as yoi rotate to your other side","Move with purposeful intention, rotating from your waist rather than your arms. Keep hips anchored and spine tall. Prioritize efficiency through controlled range, not force.","Caution;Work in a pain-free range, maintaining upright posture and controlled rotation. Avoid compensating through the hips, shoulders, or neck, and prioritize spinal alignment over depth.",,,,,,,
21,combo 4,,,,,,,,,,,,,,,,,,,
22,Straddle ,Left,1,REPS,10,,,,,,,,,,,,,,,
23,Frogs,Right,1,REPS,10,,,,,,,,,,,,,,,
24,Dead Bug 1,Basic,1,REPS,10,"Works:  Abs, pelvic floor, hip flexers.","Builds core stability, improves coordination, and supports spinal control.","Imagine
Zipping up a tight pair of jeans,from bottom to top.That brings your arms, and leg up.","Lying on your back in neutral spine.
Feet on wall in parallel, hip width apart.Knees bent at 90 degrees,shins parallel to the ceiling.
Arms straight,and up at 90 degrees,with palms facing each other.","Lift one foot off the wall, with knee bent.
Bring the leg towards the chest.
Alternating sides.
","
Inhale to prepare.
Exhale as you bring leg in.
Inhale as you bring leg down","Keep the lower back gently anchored, move opposite arm and leg with control, and maintain steady core engagement to prevent shifting or arching.","Avoid arching the lower back or losing core control as the limbs move, which can strain the spine and reduce effectiveness of the exercise.",,,,,,,
25,Twist 1,Basic,1,REPS,10,"Works:Obliques, spinal stabilizers, shoulders
","Improves rotational mobility, strengthens obliques, and supports spinal flexibility and control.","Think of yourself as a seesaw.Legs tilt one way, arms tilt the other, and your always in control of the ride.","Lying on your back in neutral spine
Legs are gluded together,knees bent,
Fet on wall with kness at 45 degrees
Arms are at 90 plams facing each other","Move your legs to the right
Arms move left","
Inhale as you rotate arms, and legs
Exhaleas you pull back to center","Initiate the rotation from the waist, keeping the shoulders relaxed and hips stable, moving with control to maintain alignment and avoid forcing the range.",,,,,,,,
26,Combo 5,,,,,,,,,,,,,,,,,,,
27,Hey Girl,,,,,,,,,,,,,,,,,,,
28,Bridge 4  |,Arms at 90,2,,20,"Works: Spinal extensors, glutes, hamstrings
","Strengthens glutes, improves spinal articulation, and challenges shoulder stability and control.",After you reach your arms back.Feel your spine slowly melting into the mat like warm wax,"In bridge position
feet on the wall legs parallel hip width apart arms down to your side

","From bridge position reach your arms up to 90 degrees
Keep arms up
Keeping the arms up articulate the spine down","Inhale to lift into bridge, exhale to articulate down through the spine with control."," Move with steady segmental control as you lift and lower, keeping arms active and stable. Maintain even weight through both feet and avoid rushing the descent.","Avoid overextending the ribs or arching the lower back as you lift, and keep the shoulders stable to prevent strain and maintain controlled spinal articulation.",,,,,,,
29,Curl up 2,with twist,2,REPS,20,"Works: Obliques, spinal stabilizers, deep abdominals
","Strengthens obliques, improves rotational control, and supports spinal stability.",Check out your cute shoes while you twist up glancing at those sparkly sandals,"Lying on your back in neutral spine 
Feet on the wall at 90 degrees hip width apart in parallel
Hands behind the head with elbows wide","
Curl your torso up and rotate to the left
Reach the right arm straight
The other arm stays behind the head
","Exhale to curl up, inhale to return to center, repeating on both sides with control."," Move with steady segmental control as you lift and lower, keeping arms active and stable. Maintain even weight through both feet and avoid rushing the descent. ","Caution: Lift with control, keeping your pelvis stable and ribs gently drawing down as you curl. Maintain steady breath and focused abdominal activation. Avoid compensation through the neck, hip flexors, or momentum.",,,,,,,
30,Figure 4 -1,Left,2,REPS,10,"Works: Glutes, hamstrings, hip rotators
","Improves hip mobility, relieves tension, and supports joint flexibility.","Were taking the elevator from the basement all the way up to the penthouse. Pause at the top to enjoy the view,then glide down","Lying on your back in neutral spine, with both knees bent
one foot on wall at 90 degrees
other leg crossed over with ankle just above the opp","From your Figure 4 position, lift your arms up to 90 degrees
Lift the into the bridge
Articulate the spine down
Bring arms to your sides","Inhale to lift into bridge, exhale to articulate down through the spine with control.

Voice chat ended
9s","8Tips: Press evenly through the working foot and keep hips level as you lift. Engage glutes and core for support, then articulate down slowly with controlled, even alignment.","Avoid pressing into the knee joint or forcing the stretch, keeping the comfortable and controlled to prevent strain in the hips or knee.",,,,,,,
31,Heel slides 1,Basic,1,REPS,10,"Works: Pelvic stabilizers, abs, hamstrings.","Improves hip mobility, builds core stability, and supports controlled, coordinated .","Reach the leg long like your showing off your new pedicure, then slide it back with control and style","Lying on back in neutral pelvis
Both knees are bent hip width apart in parallel
Hands on wall about 6 inches up with elbows bent","
Start with both knees bent
Side on foot out to straight
Bring the same leg back in
Alternating sides","
Inhale to prepare
Exhale as you lengthen the leg out along the floor
Inhale to hold with leg extended
Exhale to draw the heel back to starting position"," Move with steady control, maintaining awareness of your pelvis and ribcage as the leg slides in and out. Prioritize alignment of the hips.Keep pushing the hands into the wall."," Caution:Move with intentional control and avoid letting the pelvis rock or ribs flare. Stay in a pain-free range and monitor alignment through hips, knees, and ankles.",,,,,,,
32,combo6,,,,,,,,,,,,,,,,,,,
33,Wall Sit 1,Basic,1,,hold,"Quads, glutes, posture","Builds lower body strength, improves endurance, and supports postural stability.","Think of settling into strength, like your legs are doing the work so your upper body can stay calm, lifted, and effortlessly supported.","Think of settling into strength, like your legs are doing the work so your upper body can stay calm, lifted, and effortlessly supported.",Slowly slide your back downward until your knees are bent to about 90 degrees (or as close as possible)  start with a small amount and build into longer times,, Begin with strong core activation to support your spine and maintain even weight through both feet. Keep knees tracking over toes and move into the hold with control.and precision.  ,"Caution: Stay intentional and monitor alignment throughout the hold. If you feel foot, ankle, or knee discomfort, reduce range of motion.",,,,,,,
34,Bridge 2,Articulated,1,REPS,10,"Works: Glutes, hamstrings, spinal extensors
Benefits: Opens hip flexers, reducing tightness fro sitting","Improves spinal articulation, strengthens glutes, and enhances pelvic control.","As you lift, imagine a strand of lights turning on one by one from your tailbone to your chest. Each light switches off as you lower","Lying on your back in neutral spine Feet on wall at 90 degrees
Legs hip width apart in parallel.
Arms to your sides","
Press into your feet
Slowly peel your spine off the mat one vertebra at a time
Lift hips
Pause at the top, then melt down one vertebra at a time
Let the tailbone settle heavy on the mat",," Articulate up one vertebra at a time from the tailbone,rolling through the low backwithout thrusting, then soften down sequentially with control.Tailbone is last.","Don’t let the ribs flare, keep knees in line with hips, keep the neck long, don’t over arch back",,,,,,,
35,combo7,,,,,,,,,,,,,,,,,,,
36,Reach Crunch,,,REPS,,"Works:Abs, quadriceps, back extensors","Strengthens core, improves coordination, and supports balance and control.",Imagine you have a strong magnet on your elbow and the opposite knee. The magnets pull you into a crunch,"Standing facingout with your back on the wall in neutral spine
Legs are hip widt apart  and parallel
Arms are out ti the side in T position, with palms facing back



","
Bend one knee and bring in to your opposite elbow
Rotate slightly through your torso
Return to standing tal 
l Other side","
Inhale to prepare
Exhale as you bring your elbow towards the knee
In hale to stand tall","Lift the knee and rotate the torso with control, keeping the spine tall and core engaged to avoid collapsing or pulling through the neck.","Avoid pulling through the neck or collapsing the chest as you rotate, keeping the controlled and aligned to prevent strain and maintain proper form.",,,,,,,
37,Lunge into marching,Left,1,REPS,10,"Works: Quaddriceps, hamstrings, calves",,"Your at the starting line of a race-push off the back leg drive the knee forward like a sprinter. Quick, strong and unstoppable",,"
From your lunge position with your right leg back
Drive your right knee forward and up towareds


","
Inhale to prepare
Exhale as you bring the knee up
E

In","Press through the standing leg as you lift the back knee forward, keeping the pelvis steady and core engaged to maintain balance and controlled","Avoid pushing off the back foot or swinging the leg forward, keeping the controlled to prevent strain and maintain balance and alignment.",,,,,,,
38,Figure 4 standing,Balance,2,,hold,"Works:Gluts, hip rotators, ankles, calves
Benefits:Opens tight hips, strengthens standing leg, eases low back tention","Works:Gluts, hip rotators, ankles, calves
Benefits:Opens tight hips, strengthens standing leg, eases low back tention","Pearch like your reasting on a branch-steady and light, but strong enough to hold your balance. ","Standing facing out from wall in neutral spine
Legs are hip width apart in paraelle with knees bent
Arms down to your sides

","From your starting position, knees bent
Shift your weight to standing leg
Cross your ankle over the opposite thigh to create a 4 shape. Return to starting position.
Other side",,"  Stand tall against the wall, root through the standing foot, hinge slightly at the hips, and keep the hips squared forward as the lifted knee gently opens."," Caution:Work in a pain-free range in both the standing leg and the bent knee. It should feel stable, not strained. Don’t force depth; reduce  range of motion.",,,,,,,
39,Heel rasies 4,In Plank,1,REPS,20,"Works: Calves, shoulders, feet ,anklles","
Benefits: Improves balance, supports better posture, enhances endurance","Think of your heels as springs-steady as they press down, buoyant as they rebound up","Formarms on the wallelbows bent shoulder height
Keeping heels on the floor
Pisition yourslef in mini plank 

fff
lll","
From plank position 
Lift your heels
Lower the heels



","
 Inhale to prepare
Exhale as you lift the heels
Inhale as you lower the heels","In a small plank, maintain strong core support and steady shoulder stabilization. Feel the integration of breath and as your heels lift, keeping the body long.","Caution: As your heels lift in plank, avoid sagging into the low back. Secure the spine by engaging abdominals, inner thighs, and glutes. strong with alignment.",,,,,,,
40,Combo8,,,,,,,,,,,,,,,,,,,
41, |Back Extension,with increased range,2,REPS,10,"Works: Spinal extensors, posterior chain, deltoids
","
Benefits: Enhances posture, opens chest, improves spinal mobility","Press into the wall like you own it and lift that proud chest.Your not just standing tall, you’re opening up space for your power Sp","Facing away from the wall
Forarms on the wall
Feet hip width apart in paraelle
fff
l","
Press formarms firmly into the wall
Draw the shoulder blades down
Lift the chest



","
 Exhale to prepare
Inhale a you lift the chest into extiosion
Exhale to return","Lift into back extension with length through the spine. Maintain abdominal support, broaden the ccchest,pandpcreatelllllllllcontrolled,intentional lift while keeping the neck long.","Caution:Avoid dropping into the lower back or crunching the neck. Keep abdominals engaged, lengthen through the spine, and move within a comfortable range. tomaintain supportive alignment.",,,,,,,
42,Side bend 2, leg cross,2,REPS,10,"Works: Obliques, Lats, QL                                                                    ","                                                                   Benifits; Improves spinal mobilty, relieves tention in low back, encourages deeper breatinng,betterposture",Imagine your arm is a sail of a boat catching the wind as you arc to the side,"Stand sidways to the wall
Hand on wall with elbow bent,other arm is straight up
Outside foot is crossed over
","Standing tall ,bent your knees, shift your weight  onto your left leg.
Lift your right leg and cross over to left thigh, just above the knee, creating a “ figure 4 shape”","
Exhale to prepare
Big in hale as you reach over to the wall",. Avoid collapsing into the supporting side or twisting the torso. Keep the controlled and pain-free. Maintain abdominal support to protect the spine from strain.,"Avoid collapsing forward or rotating the torso as you side bend, keeping the in one plane to prevent strain and maintain proper alignment.",,,,,,,
43,Heel slides 1,Basic,1,REPS,10,"Core, hip flexors, stability","Builds core stability, improves hip control, and supports smooth .","Imagine your leg moving like it’s sliding through thick sand, slow and steady, while your core holds everything quietly in place.","Lie on your back in neutral spine, hands on the wall about six inches off the floor, legs parallel and hip-width apart.","Slide one heel slowly away from your body along the floor, extending the leg while maintaining neutral pelvis, then draw it back in and alternate sides.","Inhale to slide the heel away, exhale to draw it back in.

Alt (slightly more polished):
Inhale as the heel glides out, exhale to return it in with control."," Maintain core activation and steady pelvic alignment as the heel slides in and out. Think about the integration of breath with to support smooth, controlled motion.",Caution: Maintain proper leg alignment throughout the and prioritize form. Avoid letting the knee roll inward or outward.,,,,,,,
44,Leg Circles,,,,,,,,,,,,,,,,,,,
45,combo9,,,,,,,,,,,,,,,,,,,
46,Ad and abduction 2,with pulses,2,REPS,,"Works: Core stabilizers, glutes, TFL
","
Benifits: Builds endurance in the hips, enhances lateral ",Imagine your leg as a spark of energy. With each littlr pulse that spark flickers bribhter,"Facing the wall in neutral spine
Legs hip width apart in paraelE
Hands on wall a little under shoulder height, with elbows bent","From starting position bring the leg in past midline
3 pulses in
Swipe the leg out and do 3 pulces out","Inhale as you sweep the leg across midline
Exhale for the 3 pulses
Inhale as you sweep the leg out
Exhale for the 3 pulses out","Keep hips level and pelvis steady as the leg moves; make the pulses small and controlled, maintaining constant tension without letting the shift your torso.","Avoid letting the hips rock or lower back arch as the leg moves; keep pulses controlled and stay within a pain-free, manageable range.",,,,,,,
47,Leg Swings 1,Basic,2,REPS,10,"Works:Hip flexers, hip stabilizers "," Benefits:Improves hip mobility, challenges balance, loosens stiffness in hips","Think of your leg like a swing at the park-playful,free, and full of energy","Standing to the side of the wall in neutral spine
Legs are hip width apart in parallel
Hand on wall a little under shoulder height with elbow bent
Other arm is out to your side

","
Stand tall with your standing leg  grounded
Bend the moving kneeand swing the leg forward and back","
Inhale to prepare 
Exhale to swing the leg forward
Inhale to swing the leg back"," Maintain core support as the leg swings forward and back. Allow controlled momentum with a smooth rhythm, keeping the pelvis steady and intentional."," Caution:Avoid excessive momentum. Keep the torso tall and stable as the leg swings. If the upper body starts moving or twisting, slow down and regain control.",,,,,,,
48,corkscrew 2, straight legs,2,REPS,10,"Works: Abs, obliques, spinal stblizers
Benefits: Core strenght, spinal mobilty and stability, releaves low back stifness","Works: Abs, obliques, spinal stblizers
Benefits: Core strenght, spinal mobilty and stability, releaves low back stifness","
Im agine your legs like the tip of a compass drawing a perfect circle on a map","Lying on your back in neutral spine
Legs up at 90 degrees-glued together in parallel
Hands on wall about 6 inches from floor with elbows bent","
With both legs extended towards the ceiling, 
Circle the legs down to one side creating a half circle
Sweep them from down to center completing the circle","
Inhale for the first half of the circle
Exhale for the second","Keep both hips grounded for stability as you circle, legs long and connected, using your core to guide small, controlled without momentum.","Avoid lifting the hips or twisting through the lower back; keep the pelvis stable, control the range, and stop if you feel any strain or discomfort.",,,,,,,
49,Bicycle,Left,2,REPS,10,"Works: Abs, quadriceps, hip flexers
","
Benefits: Improves hip mobility, can support pain relief, builds core strength",Picture yourself pedaling through fresh air on a sunny day. Each smooth stroke clears your head and loosens the hips,"Lying on your back in neutral spine
One leg is up at 90 degrees, the other leg is bent
Both legs are in a slight turn-out
Hands on wall about 6 inches from floor=r, with elbows bent","
Lie on your back with one leg extended up
The other knee is bent towards your chest
Slowly extend he straight leg down
",,"Maintain alignment as the legs cycle. Move with steady control so each position feels intentional and organized, allowing the to stay smooth, and precise.andwelcoordinated.","Maintain alignment as the legs cycle. Move with steady control so each position feels intentional and organized, allowing the to stay smooth, and precise.andwelcoordinated.",,,,,,,
50,combo 10,,,,,,,,,,,,,,,,,,,
51,Second position 2,with heel lifts,2,REPS,10,"Works: Quaddiceps, adductors, calves
Benifits:Strenghens legs, improves hip mobility, enhances balance","Works: Quaddiceps, adductors, calves
Benifits:Strenghens legs, improves hip mobility, enhances balance","Press into the floor wide and grounded,then rise tall as if the ground is pushing you up toeard the sky","Facing out from wall in neutral spine
Legs are wide outo the side, with a slight turn-out
Arms are to you side

","
Bend your knees into a wide squat
Lift heels still in the squat,your on the balls of your feey
Rise tall push through your legs to stand all the way up
Lower heels","
Inhale to bend your knees
Exhale to rise all the way up
Inhale at the top 
Exhale to lower heels"," Maintain tall posture, knees tracking over toes. Lift your heels with control, engage inner thighs and core, then lower heels slowly.","Avoid lifting your heels so high that they become unstable or wobbly; keep ankles aligned, move with control, and maintain a steady, supported balance.",,,,,,,
52,Side Bend 3,with push off,2,REPS,10,"Works:Obliques, QL, shoulder stabilizers
","
Benifits:Builds functional strenghtimproves spinal mobility","As you side and press, its like compressing a spring,release the push and rebound up with lightness and power","Standing sideways to the wall
Hand on wall just below shoulder height with elbow bent
Outside arm is straight up
Cross the outside foot in front of the inside foot

","
From your starting position reach the top arm overhead side bend toward wall
Press off with your inside hand 
At the same time uncross the outside foot
Step into parallel standing tall","
Big inhale to reach over to the wall
Exhale to rebound to center","  Use the push from the wall to help you rise tall. Keep hips stacked, move with control, and maintain smooth alignment as the arm and leg coordinate.","Cautain:Avoid pushing off the wall too forcefully. Keep the controlled, maintain balance and alignment, and prioritize stability as you return to standing.",,,,,,,
53,Wall sit 2,on one leg,2,,hold,"Works:Quadriceps, core, calves
","
Benifits:lower body strenght, improves balance, can reduce knee and lower back pain","Imagine your on ta balance beam now-solid through your core, steady on one leg ,and the other lifted like its no big deal","Back against the wall,with knees bent
Legs are hip width apart, in parallel
Arms are down to your sides

fff
lll","
 Start in wall sit 
Shift you weight into your standing leg
Press into the grounded foot 
Lift the opposite foot off the floor
lower leg

 



g","
 Inhale as you lower into wall sit
Exhale as you lift the leg","Shift your weight intentionally into the standing leg before lifting the other. Maintain alignment through hips and torso, and keep the controlled to support balance and stability.","If you feel wobbly or unstable, shorten the range of motion. Make sure you feel secure and well-stabilized before holding the position.",,,,,,,
54,combo 11,,,,,B,,,,,,,,,,,,,,
55,hey girl,,,,,,,,,,,,,,,,,,,
